"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24"

5370056.00,0056.00,10.50,9.90,6.90,10.50,10.50,5.90,270.00,205.00,70.00,675.00,505.00,170.00,940.00,3235.00,2710.00,505.00,250.00,85.00,70.00,75.00,25.00,50.00,25.00
5370057.00,0057.00,19.40,25.50,28.60,19.10,12.50,9.80,295.00,225.00,70.00,585.00,405.00,185.00,875.00,2885.00,2545.00,330.00,135.00,60.00,65.00,50.00,20.00,20.00,30.00
5370058.00,0058.00,20.80,30.50,32.30,19.40,14.30,7.90,205.00,175.00,35.00,445.00,295.00,150.00,655.00,2375.00,2035.00,345.00,95.00,95.00,50.00,65.00,35.00,25.00,40.00
5370059.00,0059.00,23.20,33.60,34.70,21.10,13.60,8.00,285.00,225.00,55.00,545.00,355.00,190.00,825.00,3045.00,2575.00,465.00,160.00,75.00,100.00,45.00,80.00,35.00,10.00
5370060.00,0060.00,20.90,26.80,26.80,19.60,14.30,11.50,240.00,180.00,55.00,475.00,310.00,170.00,715.00,2720.00,2175.00,535.00,220.00,115.00,105.00,45.00,45.00,20.00,25.00
5370061.00,0061.00,31.60,44.50,52.20,29.40,12.10,12.30,280.00,240.00,45.00,470.00,335.00,135.00,755.00,2735.00,1975.00,745.00,240.00,165.00,95.00,105.00,130.00,30.00,80.00
5370062.00,0062.00,22.90,23.30,26.20,24.00,13.90,9.80,245.00,190.00,55.00,610.00,430.00,180.00,850.00,3100.00,2150.00,940.00,350.00,240.00,140.00,125.00,85.00,20.00,110.00
5370063.00,0063.00,33.90,41.90,45.50,34.10,17.50,11.20,165.00,135.00,30.00,400.00,275.00,125.00,565.00,2430.00,1410.00,930.00,200.00,145.00,175.00,320.00,85.00,95.00,225.00
5370064.00,0064.00,18.60,22.00,21.40,19.70,13.20,11.50,95.00,75.00,20.00,310.00,225.00,85.00,405.00,1630.00,1030.00,575.00,250.00,130.00,80.00,80.00,35.00,40.00,45.00
5370065.00,0065.00,28.80,40.20,43.90,26.10,16.70,9.60,190.00,155.00,35.00,430.00,340.00,90.00,625.00,2455.00,1250.00,1120.00,180.00,185.00,160.00,270.00,320.00,70.00,200.00
5370066.00,0066.00,19.80,31.90,31.30,18.60,8.60,7.10,375.00,310.00,60.00,980.00,715.00,270.00,1355.00,4970.00,3560.00,1395.00,535.00,240.00,210.00,270.00,135.00,140.00,135.00
5370067.00,0067.00,22.10,27.50,32.30,20.30,20.70,11.00,160.00,125.00,35.00,340.00,200.00,135.00,495.00,1700.00,1515.00,185.00,65.00,25.00,50.00,25.00,15.00,10.00,15.00
5370068.00,0068.00,31.60,30.00,22.20,34.20,19.00,16.20,75.00,60.00,15.00,140.00,85.00,50.00,215.00,855.00,805.00,50.00,40.00,0.00,0.00,10.00,0.00,10.00,10.00
5370069.00,0069.00,22.40,35.50,55.60,19.00,17.40,14.30,90.00,80.00,15.00,145.00,85.00,60.00,235.00,965.00,885.00,65.00,30.00,10.00,0.00,20.00,10.00,0.00,20.00
